date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2026-05-29,06:10:25,DEL51-P7,6917,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/assets/index-Dp_4TMyR.css,200,https://main.d2rai8dpod7e2h.amplifyapp.com/,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,LRazeSVbNmzqdXAqd14FNwv4iJ1LGjEbAUiMFivHwew9qFmTVupCSw\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,157,0.060,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,54902,0.058,Miss,text/css,-,-,-
2026-05-29,06:10:25,DEL51-P7,124466,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/assets/index-DqO0w-ie.js,200,https://main.d2rai8dpod7e2h.amplifyapp.com/,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,UF4kW7BmQSZKB0_DCjzyAqaT408pIGbwYUB11d7pYRr-_IN5a_wa7Q\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,61,0.135,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,54902,0.110,Miss,text/javascript,-,-,-
2026-05-29,06:10:25,DEL51-P7,763850,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/logo-dark.png,200,https://main.d2rai8dpod7e2h.amplifyapp.com/,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,nkAm8g1iAGgpd418PobX4ZlM7kN5erDU33_oYBCudyuHc5gnNg-2KQ\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,457,0.124,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,64207,0.089,Miss,image/png,763279,-,-
2026-05-29,06:10:40,DEL51-P7,878,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/,200,-,WhatsApp/2.23.20.0,-,-,Error,4UAjb9Cz82yD41hmdg_r4Lg9YjV2WxNjoV-eABwAxMYxQlhr2vN1WA\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,122,0.022,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/2.0,-,-,54087,0.022,InternalError,text/html,-,-,-
2026-05-29,06:10:40,DEL51-P7,844,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/Screenshot_2026-05-27_at_9.48.36_PM.png,404,-,WhatsApp/2.23.20.0,-,-,Error,Mau42qJkRMK2ll0blvYd_H1oSnS0dUsBZ_d8SQX7FV-q5iNsQLaJNg\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,60,0.070,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,54087,0.069,InternalError,text/html,-,-,-
2026-05-29,06:10:40,DEL51-P7,836,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/favicon.ico,404,-,WhatsApp/2.23.20.0,-,-,Error,n2bsq89ODCOT2U6ZAD7USj8VfEDFNAWhNKbiU6X4TbR6Igxd0mnrPw\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,40,0.108,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,54087,0.108,InternalError,text/html,-,-,-
2026-05-29,06:10:40,DEL51-P7,0,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/vite.svg,000,-,WhatsApp/2.23.20.0,-,-,Error,iCI1cc4h7Uol-yUmGwOAL0zCGE90cRiTXHORI9Ytu8sboIm4B6kyCg\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,27,0.043,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,54087,0.000,ClientCommError,-,-,-,-
2026-05-29,06:25:16,DEL51-P7,510,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/logo-dark.png,304,https://main.d2rai8dpod7e2h.amplifyapp.com/,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,0PNNyQv0q2N5OuVIDDW8WziwsuGu7uka-4m8efcuXWzqQIL6AuI_bQ\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,508,0.125,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,61694,0.125,Miss,-,-,-,-
2026-05-29,06:25:15,DEL51-P7,878,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/,200,-,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,yJaRhdBDt45-xgja1y1Di9VgoQCh_QSKfAfr9iYOAE3obOPiqse1wA\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,507,0.062,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,58708,0.062,Miss,text/html,-,-,-
2026-05-29,06:25:16,DEL51-P7,352,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/assets/index-Dp_4TMyR.css,304,https://main.d2rai8dpod7e2h.amplifyapp.com/,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,6TNuTOx2lkGWY3YYuBlSpy8H9doI7Y8Bfu9yX7rKqegvBTGP-hfv6w\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,103,0.113,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,58708,0.113,Miss,-,-,-,-
2026-05-29,06:25:16,DEL51-P7,124203,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/assets/index-Bz8r5kXh.js,200,https://main.d2rai8dpod7e2h.amplifyapp.com/,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,eedzV7Y2yyLzbHInGELrb33Ot0Boz5hvXYQ8DBJpqwQZ9bojvZskUQ\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,146,0.127,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,58708,0.107,Miss,text/javascript,-,-,-
2026-05-29,06:25:20,DEL51-P7,1065,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/vite.svg,404,https://main.d2rai8dpod7e2h.amplifyapp.com/waitlist,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,YXeT1a9NGIbuPBzMmeEJuP598EOzpqNzxccEgJ_LQAtlMMFXGuN5aw\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,457,0.079,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/3.0,-,-,61694,0.079,Error,text/html,-,-,-
2026-05-29,06:25:55,DEL51-P7,1065,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/api/waitlist/,404,https://main.d2rai8dpod7e2h.amplifyapp.com/waitlist,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,qt_c9I5oTlI9Dtq9dkxF6lB3M1l6ZgVNyeLYDdkEMVlTz6ifCdIoNQ\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,412,0.063,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/3.0,-,-,64718,0.063,Error,text/html,-,-,-
2026-05-29,06:25:55,DEL51-P7,254,103.41.145.125,POST,d2rai8dpod7e2h.cloudfront.net,/api/waitlist,301,https://main.d2rai8dpod7e2h.amplifyapp.com/waitlist,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,x-ty6jOTf0it6InIoX6-QQ8tGXBDcqbuK27mg9RO-EjGTm_jzsgODg\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,339,0.069,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,58708,0.069,Miss,-,0,-,-
